Method:,Column 1,Built-In Reference,,,Model Name,NIR-M-R1
Host Date-Time:,5/11/20 @ 14:45:24,5/12/16 @ 9:29:23,,,GUI Version,2.1.0.50
Header Version:,1,1,,,Tiva Version,2.1.0.67
System Temp (C):,37.19,23.93,,,DLPC Version,2.0.0
Detector Temp (C),0,22.13,,,UUID,D6:65:30:66:A2:17:21:28
Humidity (%):,33.68,82.7,,,Main Board Version,B
Lamp PD:,1537,1725
Shift Vector Coefficients:,-5.25325212421393,0.0425285735769367,-8.60000960807872E-05
Pixel to Wavelength Coefficients:,1758.93794361149,-0.907485523783061,-0.000255557021500057
Serial Number:,6170019,6170019
Scan Config Name:,Column 1,SystemTest
Scan Config Type:,Column,Column
Start wavelength (nm):,900,900
End wavelength (nm):,1700,1700
Pattern Pixel Width (nm):,7.03,7.03
Exposure (ms):,0.635,0.635
Digital Resolution:,228,228
Total Digital Resolution:,228,228
Num Repeats:,6,30
PGA Gain:,64,64
Total Measurement Time in sec:,2.9951713
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1263.88808042054,0.586721332258656,609018,157728
1267.34500787168,0.586135786976243,617286,160085
1270.79733529643,0.584372165989211,624608,162643
1274.2450626948,0.583680375389226,631915,164808
1278.83487696268,0.582816973936069,642446,167888
1282.27187096615,0.581615638126325,648811,170021
1285.70426494322,0.580699896178405,654573,171893
1289.13205889391,0.579975554169014,660329,173694
1292.55525281821,0.579125087727623,665734,175459
1295.97384671613,0.579286171128284,670494,176648
1299.38784058766,0.578549960793094,674614,178035
1303.93267681976,0.578589382224756,680064,179457
1307.33593729638,0.579036425587645,683545,180190
1310.73459774662,0.579770814373964,686313,180614
1314.12865817047,0.579566048799576,688557,181290
1317.51811856794,0.581398893413104,691080,181188
1320.90297893902,0.584058079463006,692949,180569
1324.28323928371,0.584822261185263,694327,180610
1328.78309748002,0.588436629219758,695001,179287
1332.15262442981,0.5902017085159,695570,178706
1335.51755135321,0.593032013245061,695683,177574
1338.87787825023,0.596013642210746,695241,176247
1342.23360512085,0.599623031013358,694854,174691
1345.58473196509,0.602428236015746,693760,173293
1348.93125878294,0.605318736171718,692533,171839
1353.38613894348,0.609365949343165,689071,169394
1356.72193236643,0.612873871919265,685658,167199
1360.05312576299,0.613460383980007,683435,166432
1363.37971913317,0.617588113498156,681459,164381
1366.70171247695,0.619890995281337,679039,162931
1370.01910579435,0.622473635988184,676771,161424
1373.33189908537,0.624117215943025,674388,160248
1377.74180121012,0.627630530240454,670269,157986
1381.04386110623,0.631356413666054,666523,155761
1384.34132097596,0.635628111526455,662541,153315
1387.63418081929,0.640486436789871,658418,150666
1390.92244063624,0.646131281492764,653728,147661
1394.20610042681,0.652224947812325,648791,144504
1397.48516019098,0.65868001754698,644220,141369
1401.85008427995,0.669026917849777,639839,137102
1405.11841064922,0.675654786288674,636472,134315
1408.38213699211,0.682942688158541,633032,131366
1411.64126330861,0.689808247263068,630165,128720
1414.89578959872,0.696586892484209,627726,126236
1418.14571586245,0.703272838387717,625436,123854
1421.39104209978,0.708460493005839,623068,121920
1424.63176831073,0.714377548632306,621456,119959
1428.9455809954,0.717469227070984,619593,118751
1432.17557381145,0.721308187750721,617830,117371
1435.40096660111,0.723816505217912,616469,116438
1438.62175936439,0.725862983274162,615221,115656
1441.83795210127,0.727332068622514,614749,115177
1445.04954481177,0.729726166268286,613478,114307
1448.25653749589,0.731430979695956,611893,113565
1452.52537214477,0.730375886244121,609645,113423
1455.72163143398,0.729964469405341,607881,113202
1458.9132906968,0.731020831599973,605378,112462
1462.10034993324,0.731173472647245,602893,111961
1465.28280914329,0.730184255917312,600839,111834
1468.46066832695,0.729628622458193,598064,111460
1471.63392748423,0.728183398440677,595184,111293
1475.85778409732,0.727752363759257,591185,110655
1479.0203098597,0.726841695991757,588054,110300
1482.17823559568,0.724402076345901,585078,110360
1485.33156130528,0.724271163721774,581409,109701
1488.48028698849,0.722153588943932,577542,109504
1491.62441264532,0.720393698748068,573142,109111
1494.76393827575,0.717722167282747,569126,109015
1498.94281685307,0.716734667501465,562609,108012
1502.0716090886,0.713185273780639,557885,107984
1505.19580129775,0.711301286596971,553037,107511
1508.31539348051,0.709684357494603,547871,106904
1511.43038563688,0.707075838765271,543067,106605
1514.54077776687,0.704611839780448,537624,106137
1517.64656987047,0.702583789715575,531948,105508
1521.780470412,0.701067396078512,524723,104439
1524.87552912069,0.697983235900974,519189,104074
